ID,species,Longitude,Latitude,year,month
1,TriticumAestivum,13.005361,54.141279,1991,11
2,TriticumAestivum,11.17078,54.013663,1996,8
3,TriticumAestivum,8.176953,50.05689,2004,10
4,TriticumAestivum,8.297597,49.374574,2004,1
5,TriticumAestivum,6.031536,50.77765,2011,9
6,TriticumAestivum,7.67801,49.802076,1988,12
7,TriticumAestivum,7.658105,48.63203,1983,9
8,TriticumAestivum,3.771722,51.241034,2011,11
9,TriticumAestivum,9.169351,48.999676,2000,11
10,TriticumAestivum,18.791922,54.101727,2005,1
11,TriticumAestivum,15.88341,58.58659,1980,2
12,TriticumAestivum,8.830366,50.129117,2014,10
13,TriticumAestivum,10.214887,50.246134,2001,6
14,TriticumAestivum,-1.958166,52.026606,2007,5
15,TriticumAestivum,5.317609,45.409224,2014,5
16,TriticumAestivum,6.749955,50.326048,2017,2
17,TriticumAestivum,8.485413,49.018142,1992,2
18,TriticumAestivum,15.37694,58.72361,2009,1
19,TriticumAestivum,9.036084,48.50762,2004,1
20,TriticumAestivum,9.56975,54.752256,2003,6
21,TriticumAestivum,5.135491,45.35397,1997,5
22,TriticumAestivum,8.332914,47.189594,2000,4
23,TriticumAestivum,9.113342,51.926588,2019,11
24,TriticumAestivum,5.355511,50.814957,2004,9
25,TriticumAestivum,1.820836,49.7988,2002,6
26,TriticumAestivum,10.671299,59.833457,1985,9
27,TriticumAestivum,9.563065,51.286196,2010,8
28,TriticumAestivum,3.3914,51.358975,2003,2
29,TriticumAestivum,6.855569,46.978593,1983,2
30,TriticumAestivum,5.229178,50.327462,2001,1
31,TriticumAestivum,2.67664,48.63018,2004,3
32,TriticumAestivum,5.16072,49.12662,2014,3
33,TriticumAestivum,4.246516,50.904682,2012,11
34,TriticumAestivum,1.524035,43.496026,1998,11
35,TriticumAestivum,9.71152,53.81497,2019,11
36,TriticumAestivum,6.673601,51.256716,2001,1
37,TriticumAestivum,10.134359,54.426191,1980,10
38,TriticumAestivum,13.415975,47.347359,2016,7
39,TriticumAestivum,9.176944,51.084868,1987,12
40,TriticumAestivum,11.965797,46.062223,2009,11
41,TriticumAestivum,8.175767,47.309192,1995,10
42,TriticumAestivum,18.7727,54.0101,1999,12
43,TriticumAestivum,4.351386,50.763501,1993,9
44,TriticumAestivum,1.182076,43.670168,1983,8
45,TriticumAestivum,17.97208,59.38456,2010,1
46,TriticumAestivum,9.306811,48.622527,2005,6
47,TriticumAestivum,11.46,48.47,2002,9
48,TriticumAestivum,0.32193,52.271566,1991,2
49,TriticumAestivum,8.261597,47.47695,2019,4
50,TriticumAestivum,8.03093,49.938412,1995,12
51,TriticumAestivum,4.72814,48.1852,2003,8
52,TriticumAestivum,-0.494528,49.208988,2002,8
53,TriticumAestivum,16.604283,49.080339,1994,3
54,TriticumAestivum,9.87,59.7716,2010,10
55,TriticumAestivum,8.570407,49.501457,2003,4
56,TriticumAestivum,17.555833,52.616944,1990,5
57,TriticumAestivum,6.578361,51.126758,1989,10
58,TriticumAestivum,12.534614,50.680849,1980,1
59,TriticumAestivum,1.87303,48.52484,2017,1
60,TriticumAestivum,11.026616,48.874071,2020,11
61,TriticumAestivum,16.83998,51.02605,1997,4
62,TriticumAestivum,-4.153475,50.404031,1981,3
63,TriticumAestivum,30.209709,50.554854,2002,3
64,TriticumAestivum,2.171166,41.52883,1996,11
65,TriticumAestivum,7.981695,49.849584,2004,10
66,TriticumAestivum,10.526161,55.535629,2003,1
67,TriticumAestivum,12.929217,49.290761,1992,12
68,TriticumAestivum,9.19036,47.314646,1987,10
69,TriticumAestivum,7.738603,49.72986,2015,11
70,TriticumAestivum,6.85463,50.96001,2013,1
71,TriticumAestivum,-1.357872,52.087697,2011,4
72,TriticumAestivum,9.105017,50.143308,1991,9
73,TriticumAestivum,7.997109,52.164641,1991,9
74,TriticumAestivum,6.33484,49.8164,1986,4
75,TriticumAestivum,5.890833,51.704444,2016,12
76,TriticumAestivum,7.726775,51.432804,2009,5
77,TriticumAestivum,5.026955,49.993152,2009,1
78,TriticumAestivum,40.0475,36.85083333,1992,9
79,TriticumAestivum,11.78,48.39,1986,1
80,TriticumAestivum,4.51417,50.58183,1998,2
81,TriticumAestivum,10.418374,49.495109,1996,10
82,TriticumAestivum,9.517038,48.334722,1982,3
83,TriticumAestivum,7.399501,49.534886,1983,6
84,TriticumAestivum,10.11,50.13,2013,10
85,TriticumAestivum,-1.093602,46.552132,2011,7
86,TriticumAestivum,6.043305,46.212557,2016,4
87,TriticumAestivum,8.615492,48.875146,2005,1
88,TriticumAestivum,8.118889,52.098889,1995,11
89,TriticumAestivum,5.799803,52.010527,2012,9
90,TriticumAestivum,8.817813,54.499858,2011,6
91,TriticumAestivum,5.04551,44.88115,1986,10
92,TriticumAestivum,11.701297,48.188545,1998,5
93,TriticumAestivum,37.4255,44.731025,1981,6
94,TriticumAestivum,9.158095,47.61708,2004,10
95,TriticumAestivum,11.226661,47.81032,1983,12
96,TriticumAestivum,16.48819,58.31871,2006,1
97,TriticumAestivum,8.45014,47.461294,2003,5
98,TriticumAestivum,40.238714,55.509783,2008,4
99,TriticumAestivum,11.337754,59.435982,2004,8
100,TriticumAestivum,5.906296,50.810729,1998,11
101,TriticumAestivum,15.8057,47.239488,1990,9
102,TriticumAestivum,11.968975,53.418753,2008,5
103,TriticumAestivum,8.473437,47.283559,2014,7
104,TriticumAestivum,14.252858,50.171759,2005,10
105,TriticumAestivum,7.074381,50.874214,1982,5
106,TriticumAestivum,1.968412,48.709049,1984,4
107,TriticumAestivum,4.56951,50.617564,1991,1
108,TriticumAestivum,0.624999,48.484066,2001,1
109,TriticumAestivum,6.165083,51.216849,1998,6
110,TriticumAestivum,5.924217,50.808347,2016,2
111,TriticumAestivum,5.197429,45.930187,2017,3
112,TriticumAestivum,1.382091,47.57744,2008,4
113,TriticumAestivum,2.294507,48.6802,2012,2
114,TriticumAestivum,8.532439,47.196617,1996,7
115,TriticumAestivum,9.540985,49.725126,2009,10
116,TriticumAestivum,2.04724,48.676329,1984,1
117,TriticumAestivum,6.179822,51.271367,2011,11
118,TriticumAestivum,11.324256,50.985443,2020,2
119,TriticumAestivum,12.796715,50.575934,1989,2
120,TriticumAestivum,14.566433,50.738478,1998,4
121,TriticumAestivum,0.395971,44.04939,2010,3
122,TriticumAestivum,22.504741,52.860444,2016,12
123,TriticumAestivum,9.021563,56.818607,2002,3
124,TriticumAestivum,11.39097,59.480294,1993,4
125,TriticumAestivum,8.981466,50.181441,2013,7
126,TriticumAestivum,-1.984298,52.36953,1984,8
127,TriticumAestivum,10.003653,54.355098,2011,11
128,TriticumAestivum,4.178688,48.825238,2019,6
129,TriticumAestivum,11.153197,48.390576,2019,12
130,TriticumAestivum,16.39895,47.874929,1999,8
131,TriticumAestivum,16.043041,48.875775,2014,9
132,TriticumAestivum,-1.186388,52.947247,1998,11
133,TriticumAestivum,20.263628,54.841251,2005,9
134,TriticumAestivum,4.65452,51.09141,2018,3
135,TriticumAestivum,16.966014,49.119734,2008,11
136,TriticumAestivum,10.030323,51.203366,1997,4
137,TriticumAestivum,7.416338,51.906668,1983,11
138,TriticumAestivum,-0.691226,49.344597,2007,9
139,TriticumAestivum,4.696496,45.440273,2003,3
140,TriticumAestivum,-3.051465,52.432709,2007,4
141,TriticumAestivum,4.523979,47.816318,1999,1
142,TriticumAestivum,-2.631513,42.840198,2012,3
143,TriticumAestivum,9.086581,47.577176,2007,3
144,TriticumAestivum,9.667541,51.677274,1987,12
145,TriticumAestivum,-1.296465,51.711894,1993,12
146,TriticumAestivum,3.70887,50.921074,1986,3
147,TriticumAestivum,5.800895,50.7766,2015,10
148,TriticumAestivum,1.610579,50.847186,2006,4
149,TriticumAestivum,10.12,50.12,2005,11
150,TriticumAestivum,3.169962,48.906621,1981,8
151,TriticumAestivum,17.80679,47.53063,1985,6
152,TriticumAestivum,5.766959,45.123774,2012,10
153,TriticumAestivum,11.671369,45.527226,1993,1
154,TriticumAestivum,0.380965,49.278164,2003,11
155,TriticumAestivum,6.532577,51.39999,2004,11
156,TriticumAestivum,3.06534,46.19837,1984,9
157,TriticumAestivum,10.37131,49.32035,1999,12
158,TriticumAestivum,7.694908,50.157822,1995,1
159,TriticumAestivum,10.914094,54.289062,2003,8
160,TriticumAestivum,11.33659,55.26396,2005,1
161,TriticumAestivum,18.138585,49.839553,2006,2
162,TriticumAestivum,5.241003,49.14809,2017,8
163,TriticumAestivum,8.283876,52.102516,2003,10
164,TriticumAestivum,10945,51.010278,1987,2
165,TriticumAestivum,3.224587,50.661095,1984,9
166,TriticumAestivum,12.00668,57.85465,2005,2
167,TriticumAestivum,14.5061,50.005225,2004,3
168,TriticumAestivum,2.59408,49.3653,1983,6
169,TriticumAestivum,4.74597,50.78038,2013,8
170,TriticumAestivum,10.64672,60.808676,2018,7
171,TriticumAestivum,4.962926,50.790364,2004,11
172,TriticumAestivum,9.795113,47.82064,1992,9
